fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
93960,The Garden Gate,"14      South End Road, London",NW3 2QE,527274,185571,51.554668,-0.165595,Camden
93964,The George,"8      Great Queen Street, London",WC2B 5DG,530502,181365,51.516143,-0.120633,Camden
93965,The George,"250      Haverstock Hill, London",NW3 2AE,527248,185232,51.551627,-0.166093,Camden
93969,The Glass Bar,"West Lodge, 190      Euston Road, London",NW1 2EF,529640,182549,51.526981,-0.132599,Camden
93970,The Golden Lion,"88      Royal College Street, London",NW1 0TH,529450,183751,51.537827,-0.134895,Camden
93974,The Good Mixer,"28-30      Inverness Street, London",NW1 7HJ,528803,183937,51.539646,-0.144151,Camden
93975,The Grafton,20 Prince Of Wales Road,NW5 3LG,528720,184731,51.546801,-0.145057,Camden
93977,The Grand Union,"102-104      Camden Road, London",NW1 9EA,529184,184130,51.541303,-0.138589,Camden
93979,The Great Nepalese Restaurant,"48      Eversholt Street, London",NW1 1DA,529618,182816,51.529386,-0.132818,Camden
93982,The Griffin,"125      Clerkenwell Road, London",EC1R 5DB,531051,181981,51.521552,-0.112482,Camden
93989,The Harrison,"28      Harrison Street, London",WC1H 8JF,530448,182620,51.527433,-0.120932,Camden
93990,The Hawley Arms,"2      Castlehaven Road, London",NW1 8QU,528730,184206,51.54208,-0.145105,Camden
93993,The Holly Bush,"22      Holly Mount, London",NW3 6SG,526322,185870,51.557569,-0.179212,Camden
93994,The Hon. Soc. Of Gray's Inn,"8      South Square, London",WC1R 5EU,531010,181712,51.519135,-0.113173,Camden
93996,The Hope,"15      Tottenham Street, London",W1T 2AJ,529464,181812,51.520399,-0.135406,Camden
93997,The Horse Shoe,"28      Heath Street, London",NW3 6TE,526378,185673,51.555786,-0.178476,Camden
94002,The Ice Wharf,"Suffolk Wharf, 28-30      Jamestown Road, London",NW1 7BY,528572,183991,51.540193,-0.14746,Camden
94010,The Lady Ottoline,"11a      Northington Street, London, Greater London",WC1N 2JF,530891,182038,51.522101,-0.114766,Camden
94011,The Lamb,"94      Lamb's Conduit Street, London",WC1N 3LZ,530597,182133,51.523023,-0.118966,Camden
94012,The Lansdowne,"90      Gloucester Avenue, London",NW1 8HX,528116,184169,51.541887,-0.153967,Camden
94015,The Leighton Arms,"101      Brecknock Road, London",N7 0DA,529545,185370,51.552363,-0.13293,Camden
94021,The Lock Tavern,"35      Chalk Farm Road, London",NW1 8AJ,528507,184295,51.542931,-0.148286,Camden
94022,The London Cocktail Club,224a      Shaftesbury Avenue,WC2H 8EB,530125,181392,51.516472,-0.126039,Camden
94023,The Lord Palmerston,"33      Dartmouth Park Hill, London",NW5 1HU,528986,186163,51.5596,-0.140699,Camden
94024,The Lord Southampton,"2 Southampton Road, London",NW5 4HX,527929,185063,51.549973,-0.156337,Camden
94025,The Lord Stanley,"51      Camden Park Road, London",NW1 9BH,529779,184804,51.547223,-0.129766,Camden
94027,The Lower Ground Bar,"269      West End Lane, London",NW6 1QS,525476,185073,51.550604,-0.191693,Camden
94028,The Lukin,"4      Conway Street, London",W1T 6BB,529165,181993,51.522093,-0.139646,Camden
94032,The Monarch,"40-42      Chalk Farm Road, London",NW1 8BG,528495,184299,51.54297,-0.148472,Camden
94033,The Montague on the Gardens,"15      Montague Street, London",WC1B 5BJ,530147,181815,51.520269,-0.125566,Camden
94037,The Newmarket Arms,"17      York Way, London",N7 9QG,530042,184356,51.543128,-0.126141,Camden
94042,The Old Bell,"38      Kilburn High Road, London",NW6 5UA,525489,183575,51.537139,-0.192039,Camden
94043,The Old Crown PH,"33      New Oxford Street, London",WC1A 1BH,530180,181451,51.51699,-0.125225,Camden
94045,The Old Eagle Public House,"251      Royal College Street, London",NW1 9LU,529102,184327,51.543092,-0.139699,Camden
94047,The Old Nick,"21-22      Sandland Street, London",WC1R 4PZ,530764,181734,51.519398,-0.116708,Camden
94048,The Old Oak,"1      Mansfield Road, London",NW3 2JD,528262,185611,51.554813,-0.151338,Camden
94049,The Old Red Lion,"72      High Holborn, London",WC1V 6LS,530736,181587,51.518075,-0.117166,Camden
94050,The One Tun,"125      Saffron Hill, London, Greater London",EC1N 8QS,531450,181831,51.520111,-0.106791,Camden
94053,The Oxford Pub,"256      Kentish Town Road, London",NW5 2AA,529029,185097,51.550019,-0.140483,Camden
94060,The Perseverance,"63      Lamb's Conduit Street, London",WC1N 3NB,530612,182020,51.522004,-0.118792,Camden
94063,The Pineapple Public House,"51      Leverton Street, London",NW5 2NX,529085,185485,51.553493,-0.139534,Camden
94065,The Place Theatre Bar,"The Place Theatre, 17      Duke's Road, London",WC1H 9AB,529894,182577,51.527175,-0.128944,Camden
94066,The Plough,"27      Museum Street, London",WC1A 1LH,530119,181551,51.517903,-0.126067,Camden
94068,The Polish Bar (Na Zdrowie),"6      Little Turnstile, London",WC1V 7DX,530600,181513,51.51745,-0.119152,Camden
94071,The Priory Tavern,"250      Belsize Road, London",NW6 4BT,525514,183682,51.538104,-0.19164,Camden
94072,The Purple Turtle,"61-63      Crowndale Road, London",NW1 1TN,529287,183385,51.534584,-0.137378,Camden
94074,The Queens,"49      Regent's Park Road, London",NW1 8XD,527856,184049,51.540868,-0.157758,Camden
94075,The Queens Larder,"1      Queen Square, London",WC1N 3AR,530342,181945,51.521392,-0.122709,Camden
94081,The Rocket,"120      Euston Road, London",NW1 2AL,529870,182710,51.528384,-0.129226,Camden
94082,The Roebuck,"15      Pond Street, London",NW3 2PN,527149,185483,51.553905,-0.167415,Camden
94087,The Rugby Tavern,"19      Great James Street, London",WC1N 3ES,530717,181986,51.521674,-0.117292,Camden
94088,The Seven Stars,"53-54      Carey Street, London",WC2A 2JB,530992,181246,51.51496,-0.113605,Camden
94089,The Sheephaven Bay,"2      Mornington Street, London",NW1 7QD,528957,183450,51.535235,-0.14211,Camden
94090,The Ship Tavern,"12      Gate Street, London",WC2A 3HP,530612,181492,51.517259,-0.118987,Camden
94091,The Slice Bar (Cupola House),"15-17      Alfred Place, London",WC1E 7EB,529618,181757,51.519869,-0.133222,Camden
94100,The Square Pig,"30-32      Procter Street, London",WC1V 6NZ,530596,181635,51.518548,-0.119165,Camden
94101,The Squares Tavern & Wine Bar,"26      Tolmer's Square, London",NW1 2PE,529307,182469,51.526339,-0.137426,Camden
